"","id","toxic","severe_toxic","obscene","threat","insult","identity_hate"
"1","0002bcb3da6cb337",1,1,1,0,1,0
"2","0005c987bdfc9d4b",1,0,0,0,0,0
"3","0007e25b2121310b",1,0,0,0,0,0
"4","001810bf8c45bf5f",1,0,1,0,1,1
"5","00190820581d90ce",1,0,1,0,1,0
"6","001956c382006abd",1,0,0,0,0,0
"7","001dc38a83d420cf",1,0,1,0,0,0
"8","0020e7119b96eeeb",1,1,1,0,1,0
"9","0020fd96ed3b8c8b",1,0,1,0,1,0
"10","0021fe88bc4da3e6",1,0,1,0,0,0
"11","002264ea4d5f2887",1,0,0,0,0,0
"12","0028d62e8a5629aa",1,0,1,0,1,0
"13","003217c3eb469ba9",1,0,0,1,0,0
"14","0036621e4c7e10b5",1,0,0,0,1,0
"15","00472b8e2d38d1ea",1,0,1,0,1,1
"16","005f59485fcddeb0",1,0,0,0,0,0
"17","00637960a7ec3436",1,0,0,0,0,0
"18","00686325bcc16080",1,0,0,0,1,0
"19","006b94add72ed61c",1,0,1,1,1,1
"20","006e87872c8b370c",1,1,1,0,1,0
"21","007f1839ada915e6",1,0,1,0,0,0
"22","0082b5a7b4a67da2",1,0,0,0,0,0
"23","0086998b34865f93",1,0,1,0,1,0
"24","008e0818dde894fb",1,0,1,0,1,1
"25","009371b0ef213487",1,0,1,0,1,0
"26","0097dd5c29bf7a15",1,0,1,0,1,1
"27","00ab65775c601cf9",1,0,0,0,0,0
"28","00afb4dec99a231f",1,0,0,0,0,0
"29","00b77cb600c897b4",1,0,0,0,0,0
"30","00be7dcac98dc95d",1,0,1,0,1,0
"31","00c0b8ed05ed7833",1,0,1,0,0,0
"32","00c1b6962307c80e",1,0,0,0,0,0
"33","00c59720428c985a",1,0,1,0,1,0
"34","00cce3996a16c116",1,0,0,0,1,0
"35","00d1d2f4f247d472",1,0,1,0,0,0
"36","00d429d337eaa672",1,0,0,0,0,0
"37","00d7a73eb033ee5e",1,0,0,0,0,0
"38","00db176890cd71bf",1,0,0,0,0,0
"39","00dc0760994133ff",1,0,1,0,1,0
"40","00f59a92085d27ab",1,0,0,0,1,0
"41","0109d5a4788850f7",1,0,1,0,1,0
"42","01113aece2e95a73",1,0,0,0,0,0
"43","01166f26ee280e56",1,0,1,0,1,1
"44","011d0c0a6c8e5765",1,0,1,0,1,0
"45","011e2c96cfa8a055",1,0,1,0,0,0
"46","01208d2b76624130",1,1,1,0,1,0
"47","0125f95ac41f6cea",1,0,0,0,0,0
"48","013ad5246f4b953b",1,0,1,0,1,0
"49","014c96f873db11ff",1,0,0,0,1,0
"50","0152f55962c4f707",1,0,0,0,0,0
"51","015bf1bda7ab6b9c",1,0,0,0,0,0
"52","015c99386399aa14",1,0,1,0,0,0
"53","015d1b0bb4cc744d",1,0,1,0,1,1
"54","016309265c788dc1",1,0,0,0,0,0
"55","018663f910e0bfe6",1,1,1,0,1,0
"56","018942e044417b74",1,0,0,0,1,0
"57","018e6f1e1b18723a",1,0,0,0,0,0
"58","0199d6af27b715f3",1,0,0,1,0,0
"59","019ab9a91e7fcdbe",1,0,1,0,1,0
"60","019c4ce48e6bfbab",1,0,1,0,1,0
"61","01a004866d1dd4e0",1,0,0,0,1,0
"62","01a04eaa73dc98ab",1,0,0,0,0,0
"63","01b1926bc5c1cc78",1,0,1,0,1,0
"64","01b9aa85cc61c03f",1,0,1,0,1,0
"65","01bb5130bb7d6cba",1,0,0,0,1,0
"66","01bed0edcd09824a",1,0,1,0,0,0
"67","01bf0d4342ec4a2e",1,0,0,0,0,0
"68","01c7c962932560ee",1,0,0,0,0,0
"69","01ce75675a501e50",1,0,1,0,1,0
"70","01d57127c5308743",1,0,0,0,0,0
"71","01dbc875f2d85f66",1,0,0,0,0,0
"72","01e3882f09660e23",1,0,0,0,0,0
"73","01e7a01d501d578a",1,0,0,0,0,0
"74","01f0f77e6e58b347",1,0,0,0,0,0
"75","01f304185a18cb7b",1,0,0,0,0,0
"76","01f467f73fb47c3e",1,0,0,0,1,0
"77","01fa2f1880fecd30",1,0,0,0,0,0
"78","01fb5b0525dd9b05",1,0,0,0,0,0
"79","01fd0de4ca85352f",1,0,0,0,0,0
"80","020316a0de9e0406",1,1,1,0,0,0
"81","0207005a6576eafc",1,1,1,0,1,0
"82","0209cdf3131130ed",1,1,1,0,1,0
"83","02230885017a50c5",1,0,1,1,1,0
"84","022509df20736807",1,0,1,0,1,0
"85","02266b7fc5746618",1,0,0,0,1,0
"86","022af9360c61f05f",1,0,1,0,1,0
"87","022c678ddddb54fd",1,0,0,0,0,0
"88","023d01990e18a4da",1,0,1,0,1,0
"89","024145ecee609f08",1,0,0,0,0,0
"90","0251ad80bf585093",1,0,0,0,0,0
"91","0254d9e57a36fc64",1,0,0,0,0,0
"92","0265bcade39daa25",1,0,1,0,1,0
"93","026a530134212936",1,0,0,0,0,0
"94","026bd33490542b2e",1,1,1,0,1,1
"95","026c765adda9c0ce",1,0,0,0,1,0
"96","028b33a01b981487",1,0,0,0,1,0
"97","028f5b635f7fa2dc",1,0,0,0,1,0
"98","0291735c70214907",1,0,0,0,0,0
"99","029dceed3519e371",1,0,1,0,1,1
"100","02a1ac2c706d3306",1,0,0,0,0,0
"101","02a1d4b1ad3f5be0",1,0,0,0,0,0
"102","02a4e52899344a88",1,0,0,0,0,0
"103","02a98267cd4a2a73",1,0,1,0,1,0
"104","02aa3f827a4c7cd6",1,0,0,0,0,0
"105","02afd99087d6cdc4",1,0,1,0,1,0
"106","02bbfc50f48fb9bd",1,0,1,0,0,0
"107","02c027c097aeda49",1,0,0,0,1,0
"108","02c5be40edbd40cc",1,0,0,0,0,0
"109","02c6e41e4b317ac3",1,1,1,1,1,1
"110","02cbe8d8e800f936",1,0,0,0,0,0
"111","02d9d26320773709",1,0,1,0,1,0
"112","02db639e00c7f4a8",1,0,0,0,0,0
"113","02e6fc74d370b880",1,0,1,0,1,0
"114","02f77830b4d71c0f",1,0,0,1,0,0
"115","02fe38c6d10c97a5",1,0,0,0,0,0
"116","03088aacc4600323",1,1,1,0,1,1
"117","030ed098f411f8c7",1,1,1,0,1,0
"118","030f383eb9168991",1,0,0,0,0,0
"119","031be7991d883341",1,0,0,0,1,1
"120","03222bc65ab17f08",1,0,1,0,0,0
"121","0325d248b8875710",1,0,0,0,0,0
"122","033d6574ecbbeb8e",1,0,1,0,0,0
"123","0349653f81b942ba",1,0,0,0,0,0
"124","034beefa865b5381",1,1,1,0,0,0
"125","034cf319ae8fab24",1,0,1,0,0,0
"126","0355b79cb7deea97",1,0,0,0,1,0
"127","035bd3aeb4083093",1,0,0,0,0,0
"128","03687823a14a8454",1,1,1,0,1,0
"129","037f8fbe6e9cbe03",1,0,1,0,1,1
"130","038327604e7dece8",1,0,1,0,0,0
"131","0384515afa407869",1,0,0,0,0,0
"132","038947bbf889cb2a",1,0,1,0,1,0
"133","039281cfaf5a7462",1,0,1,0,1,0
"134","039296aa294ee10b",1,1,1,1,1,1
"135","03a749e7639fd6be",1,0,0,0,0,0
"136","03a8dc2a34c1ab39",1,0,0,0,0,0
"137","03b0141f824d81f2",1,0,0,0,1,0
"138","03b209cb784d7a36",1,0,1,0,0,0
"139","03b97c9337d7d5fd",1,0,1,0,0,0
"140","03c207be67b02e60",1,0,1,0,1,0
"141","03cd3bc6e0953f94",1,0,0,0,0,0
"142","03d48eb600a1ae73",1,0,0,0,0,0
"143","03dd90664e855020",1,0,0,0,0,0
"144","03defcf604c604cf",1,0,0,0,0,0
"145","03ebb03deb920216",1,1,1,0,1,0
"146","03f3dec5d5e9d381",1,0,1,0,1,0
"147","040cc51550e58864",1,0,0,0,0,0
"148","0416eaa1ca33af54",1,0,0,0,0,0
"149","041aeadcdbc3543a",1,0,0,0,0,1
"150","0420f5f4e950566b",1,0,1,1,1,1
"151","04237ea01685d4b6",1,0,1,0,1,1
"152","04258e0f81ca98f8",1,0,1,0,1,0
"153","04273b9c5738c89c",1,0,0,0,0,0
"154","042d435734db39cb",1,0,1,0,0,0
"155","04316638593290c8",1,0,0,0,0,0
"156","0435cf3f291d5d79",1,0,0,0,0,0
"157","04371246307ecbd1",1,1,1,0,1,0
"158","0437561ecfde2bfb",1,0,1,0,1,0
"159","0444b497d3969b31",1,0,0,0,0,0
"160","04471326463502f1",1,0,0,0,0,0
"161","04478c56865dd011",1,0,0,0,0,0
"162","0447ab3c0aceab45",1,0,1,0,1,0
"163","044cc0666946070e",1,0,0,0,1,0
"164","044f39de7fce756e",1,0,1,0,1,0
"165","044ff15f3f19bda5",1,0,0,0,0,0
"166","045d2457a827c5f7",1,0,0,0,0,0
"167","0470a205e8ecf59b",1,1,1,0,1,0
"168","04740afdec5c0429",1,0,0,0,0,0
"169","0478a92d92a5ad98",1,0,0,0,0,0
"170","047a7b94bbbdb090",1,0,0,0,0,0
"171","047b26be7714316a",1,0,1,0,1,1
"172","0481f0959adb034a",1,0,1,0,1,0
"173","04844cbb448e7f0a",1,0,0,0,0,0
"174","0487903955e2e742",1,0,1,0,0,0
"175","0489a254fed03fab",1,0,0,0,0,0
"176","048e2bdc78a2dff1",1,1,1,0,1,0
"177","0492cfd8278238d4",1,1,1,0,1,0
"178","04a2576b8653d081",1,0,0,0,0,0
"179","04a2e9156cfd87a6",1,0,1,0,1,0
"180","04aadd2f732eef57",1,0,1,0,1,0
"181","04ac4f118a1563c4",1,0,0,0,0,0
"182","04ac56a43d2d209a",1,0,1,0,1,0
"183","04af185d298b513f",1,0,1,0,1,0
"184","04cf14506adaaf42",1,0,1,0,1,1
"185","04d7dfc05bd69f45",1,0,0,0,0,0
"186","04e9695e9cf006b8",1,0,0,0,0,0
"187","04e9fde291ed2a8f",1,0,0,0,0,0
"188","04f8cad9735b8c3c",1,0,1,0,1,0
"189","050159ed7da327be",1,0,0,0,1,0
"190","050ab8da16e75307",1,0,0,0,1,1
"191","0512b588a4b80e45",1,0,1,0,1,1
"192","0512f33cf8807fa2",1,0,1,1,1,1
"193","0527d9c4ff997a3e",1,0,1,0,1,0
"194","052fbdf4ce567988",1,0,1,0,1,0
"195","0538fb8b2eef622e",1,0,0,0,1,0
"196","054032f0cb3ecd35",1,0,0,0,0,0
"197","05452c3ec6ac1859",1,0,1,0,1,0
"198","05579b212760ff49",1,0,1,0,1,0
"199","0559f0de5c90f55a",1,0,0,0,1,0
"200","056d37c3ad166da3",1,0,1,0,0,0
"201","0575db58337a8fb2",1,0,0,0,1,0
"202","057894cf4738a5d8",1,0,1,1,1,1
"203","0585db8155c9fd6c",1,0,0,0,0,0
"204","0589d6b50920e734",1,0,0,0,1,0
"205","058ecc8c26b81426",1,0,0,0,1,0
"206","0593a8a738fedf41",1,1,1,0,1,0
"207","05985809c0bb8566",1,0,0,0,1,0
"208","059e1c15bbd733e5",1,0,0,0,0,0
"209","05a6e59c979e05f3",1,0,0,0,0,0
"210","05a928e4d2101d4e",1,1,1,0,1,0
"211","05bde2e257e74eca",1,0,1,0,1,0
"212","05c73c6c6434cf7c",1,0,0,0,0,0
